"代號","名稱","公佈日","配股價 / 溢價(折讓)","新股比例","現價 / 溢價(折讓)","配售代理","授權方式","配售方式","完成配售日期","狀態"
06998.hk,嘉和生物－Ｂ,07/10/24,2.899 / 75.71%,350.27%,2.62 / (9.62%),-,特別授權,新股 - 代價發行,未公佈,配股中
00164.hk,中國寶力科技,07/10/24,0.41 / (13.642%),2.5032%,0.385 / (6.1%),-,普通授權,新股,18/10/24,已完成
08333.hk,阿仕特朗金融,07/10/24,0.26 / (20.0%),10.42%,0.345 / 32.69%,阿仕特朗資本,普通授權,新股,-,已取消
00913.hk,港灣數字,07/10/24,0.24 / (14.3%),20.0%,0.385 / 60.42%,阿仕特朗資本,普通授權,新股,30/10/24,已完成
08051.hk,訊智海,04/10/24,3.0 / (2.6%),33.3%,2.19 / (27.0%),-,特別授權,新股,29/11/24,已完成
08612.hk,維亮控股,04/10/24,0.01764 / (16.0%),20.0%,0.079 / 347.85%,國創,普通授權,新股,未公佈,配股中
02257.hk,聖諾醫藥－Ｂ,03/10/24,3.36 / (20.0%),20.0%,6.22 / 85.12%,-,普通授權,新股,未公佈,配股中
01341.hk,昊天國際建投,03/10/24,0.4 / (21.57%),20.0%,0.201 / (49.75%),昊天,特別授權,新股,12/05/25,已完成
02459.hk,昇能集團,02/10/24,0.39 / (19.6%),7.55%,0.153 / (60.77%),華升,普通授權,先舊後新,09/10/24,已完成
00381.hk,權識國際,02/10/24,0.15 / (14.77%),7.23%,0.57 / 280.0%,-,普通授權,新股,10/10/24,已完成
00776.hk,帝國科技集團,02/10/24,1.79 / (17.13%),20.0%,0.96 / (46.37%),元宇宙,普通授權,新股,24/10/24,已完成
00204.hk,資本界金控,02/10/24,0.36 / (19.1%),20.0%,0.047 / (86.94%),鼎石 & 瑞森港通,普通授權,新股,-,已取消
01020.hk,賽伯樂國際控股,30/09/24,0.1 / 20.48%,4.99%,0.057 / (43.0%),-,普通授權,新股,-,已取消
00245.hk,中薇金融,29/09/24,0.052 / 2.0%,7.11%,1.02 / 1861.54%,-,普通授權,新股 - 代價發行,未公佈,配股中
02147.hk,正味集團,27/09/24,0.034 / (20.93%),20.0%,0.036 / 5.88%,矩陣,普通授權,新股,-,已取消
00058.hk,新威國際,27/09/24,0.1 / 96.05%,20.0%,0.131 / 31.0%,金利豐,特別授權,新股,未公佈,配股中
01303.hk,滙力資源,25/09/24,0.45 / (6.25%),4.3%,0.247 / (45.11%),-,普通授權,新股,10/10/24,已完成
08412.hk,新愛德集團,24/09/24,0.46 / 2.222%,19.995%,0.37 / (19.57%),-,普通授權,新股,03/10/24,已完成
01468.hk,京基金融國際,24/09/24,0.423 / (7.03%),8.54%,0.285 / (32.62%),-,特別授權,新股 - 代價發行,11/02/25,已完成
01802.hk,文業集團,24/09/24,0.055 / (3.5%),40.0%,0.033 / (40.0%),-,特別授權,新股,17/04/25,已完成
03939.hk,萬國黃金集團,23/09/24,8.33 / (9.95%),20.0%,29.85 / 258.34%,-,普通授權,新股,09/10/24,已完成
01025.hk,嘉藝控股,23/09/24,0.0315 / (7.35%),20.0%,0.285 / 804.76%,駿達,普通授權,新股,15/10/24,已完成
08547.hk,PACIFIC LEGEND,23/09/24,0.165 / 12.2%,1.07%,0.152 / (7.88%),-,普通授權,新股 - 代價發行,未公佈,配股中
01201.hk,天臣控股,20/09/24,0.1 / (3.85%),5.78%,0.57 / 470.0%,-,普通授權,新股,07/10/24,已完成
01783.hk,晉景新能,20/09/24,4.2 / (18.92%),1.57%,7.51 / 78.81%,-,普通授權,新股,未公佈,配股中
02459.hk,昇能集團,20/09/24,0.325 / (13.3%),4.95%,0.153 / (52.92%),華升,普通授權,先舊後新,30/09/24,已完成
09960.hk,康聖環球,20/09/24,1.42 / 16.39%,6.06%,1.45 / 2.11%,-,普通授權,新股 - 代價發行,24/01/25,已完成
08283.hk,中食民安,19/09/24,0.057 / (18.57%),19.17%,0.94 / 1549.12%,-,普通授權,新股 - 代價發行,未公佈,配股中
01942.hk,馬可數字科技,16/09/24,0.53 / (14.52%),20.0%,0.55 / 3.77%,英皇,普通授權,新股,03/10/24,已完成
01143.hk,中國儲能科技發展,16/09/24,1.51 / (19.7%),10.0%,0.395 / (73.84%),軟庫中華,普通授權,新股,07/10/24,已完成
03321.hk,偉鴻集團控股,16/09/24,0.02 / (20.0%),20.0%,0.056 / 180.0%,軟庫金滙,普通授權,新股,07/10/24,已完成
00526.hk,利時集團控股,16/09/24,0.076 / 1.33%,9.95%,0.114 / 50.0%,-,普通授權,新股,25/10/24,已完成
00223.hk,易生活控股,15/09/24,0.123 / (12.14%),20.0%,0.109 / (11.38%),-,普通授權,新股,25/09/24,已完成
01466.hk,佰金生命科學,12/09/24,0.48 / (4.0%),4.09%,0.67 / 39.58%,-,普通授權,新股,30/09/24,已完成
00720.hk,意達利控股,11/09/24,0.13 / (10.34%),15.12%,0.167 / 28.46%,-,普通授權,新股 - 代價發行,29/10/24,已完成
02322.hk,新質數字,11/09/24,0.75 / (16.67%),16.02%,0.405 / (46.0%),昌利 & 鼎石 & 元庫 & 東吳 & 華盛資本,普通授權,新股,-,已取消
00302.hk,中手游,11/09/24,1.68 / 140.0%,1.33%,0.485 / (71.13%),-,普通授權,新股,未公佈,配股中
08160.hk,GOLDWAY EDU,10/09/24,0.21 / (25.0%),19.67%,0.415 / 97.62%,-,普通授權,新股 - 代價發行,未公佈,配股中
08385.hk,萬里印刷,09/09/24,0.125 / (0.39%),19.99%,0.084 / (32.8%),駿達,普通授權,先舊後新,20/09/24,已完成
08363.hk,ＳＤＭ教育,09/09/24,0.14 / 86.67%,2.83%,0.088 / (37.14%),-,普通授權,新股,未公佈,配股中
00789.hk,雅天妮集團,09/09/24,0.27 / (14.29%),19.93%,0.345 / 27.78%,凱基,普通授權,新股,04/10/24,已完成
03313.hk,雅高控股,06/09/24,0.114 / (18.57%),20.0%,0.169 / 48.25%,眾宸,普通授權,新股,27/09/24,已完成
01069.hk,中國健康科技集團,05/09/24,0.043 / (15.69%),19.97%,0.043 / 0.0%,昌利,普通授權,新股,未公佈,配股中
08079.hk,仍志集團控股,05/09/24,0.02 / (20.0%),19.99%,0.45 / 2150.0%,-,普通授權,新股,04/10/24,已完成
01280.hk,奇點國峰,04/09/24,0.4 / (19.19%),89.31%,4.02 / 905.0%,-,特別授權,新股 - 代價發行,27/09/24,已完成
01468.hk,京基金融國際,04/09/24,0.41 / 0.0%,20.0%,0.285 / (30.49%),東方滙財,普通授權,新股,23/09/24,已完成
08221.hk,高裕金融,04/09/24,0.014 / (17.65%),19.0%,1.17 / 8257.14%,創陞,普通授權,新股,17/09/24,已完成
08646.hk,中國宏光,04/09/24,0.286 / (42.8%),32.68%,0.255 / (10.84%),-,特別授權,新股,02/07/25,已完成
08350.hk,立橋證券控股,02/09/24,0.25 / 65.6%,20.0%,0.2 / (20.0%),-,特別授權,新股,01/11/24,已完成
01355.hk,朸濬國際,02/09/24,0.169 / (18.4%),19.99%,0.096 / (43.2%),滙盈,普通授權,新股,20/09/24,已完成
01822.hk,中木國際,27/08/24,0.226 / (16.3%),19.99%,0.116 / (48.67%),滙盈,普通授權,新股,20/09/24,已完成
02110.hk,天成控股,27/08/24,0.1 / (4.8%),12.41%,0.096 / (4.0%),滿好,普通授權,新股,12/09/24,已完成
08532.hk,寶發控股,23/08/24,0.04 / 5.26%,20.0%,0.024 / (40.0%),泉湧,普通授權,新股,08/10/24,已完成
00428.hk,中國天弓控股,23/08/24,0.3 / (7.69%),20.0%,0.206 / (31.33%),SFGHK Limited,普通授權,新股,11/09/24,已完成
00290.hk,國富量子,23/08/24,0.89 / 0.0%,4.78%,1.68 / 88.76%,-,特別授權,新股 - 代價發行,18/10/24,已完成
08268.hk,智城發展控股,22/08/24,0.33 / (16.46%),20.0%,0.72 / 118.18%,樹熊,普通授權,新股,12/09/24,已完成
00362.hk,中國天化工,22/08/24,0.1 / (6.54%),44.39%,0.015 / (85.0%),瑞邦,特別授權,新股,-,已取消
08431.hk,浩柏國際,22/08/24,0.135 / 3.05%,5.88%,0.225 / 66.67%,-,普通授權,新股,26/08/24,已完成
08363.hk,ＳＤＭ教育,21/08/24,0.14 / 48.94%,2.91%,0.088 / (37.14%),-,普通授權,新股,03/09/24,已完成
01094.hk,承輝國際,19/08/24,0.4405 / (19.9%),20.0%,0.48 / 8.97%,千里碩,普通授權,新股,26/09/24,已完成
02350.hk,數科集團,18/08/24,0.5 / (19.36%),10.0%,0.4 / (20.0%),瑞森港通,普通授權,新股,-,已取消
01611.hk,新火科技控股,16/08/24,2.18 / 14.14%,25.52%,5.4 / 147.71%,-,特別授權,新股 - 代價發行,29/05/25,已完成
08511.hk,民富國際,13/08/24,0.024 / (14.29%),20.0%,1.03 / 4191.67%,粵商國際,普通授權,新股,28/08/24,已完成
08431.hk,浩柏國際,13/08/24,0.135 / (4.9%),7.29%,0.225 / 66.67%,-,普通授權,新股,19/08/24,已完成
01477.hk,歐康維視生物－Ｂ,12/08/24,9.2 / 25.51%,20.06%,9.86 / 7.17%,-,特別授權,新股 - 代價發行,未公佈,配股中
02347.hk,友和集團,12/08/24,1.0 / 66.67%,1.0%,0.68 / (32.0%),-,普通授權,新股 - 代價發行,02/09/24,已完成
08547.hk,PACIFIC LEGEND,08/08/24,0.165 / (2.37%),18.72%,0.152 / (7.88%),弘雅資本,普通授權,新股,28/08/24,已完成
08187.hk,積木集團,05/08/24,0.25 / (13.8%),40.0%,0.49 / 96.0%,京基,特別授權,新股,31/10/24,已完成
01084.hk,綠新親水膠體,05/08/24,0.81 / 3.8%,4.79%,0.71 / (12.35%),-,普通授權,新股,未公佈,配股中
08391.hk,基石科技控股,02/08/24,0.53 / (19.7%),7.18%,0.36 / (32.08%),建泉融資,普通授權,新股,29/08/24,已完成
09880.hk,優必選,01/08/24,92.0 / (16.1%),0.34%,84.05 / (8.64%),國泰君安 & TradeGo Markets Limited,普通授權,新股,08/08/24,已完成
06955.hk,博安生物,31/07/24,9.5 / (2.96%),5.23%,17.12 / 80.21%,瑞士銀行 & 安信國際,普通授權,新股,07/08/24,已完成
00204.hk,資本界金控,31/07/24,0.47 / (9.62%),17.22%,0.047 / (90.0%),-,特別授權,新股 - 代價發行,未公佈,配股中
