"代號","名稱","公佈日期","要約價 /溢價(折讓)","現價 /溢價(折讓)","出售股份","新主","開始接納","最後接納","公佈三年","狀態"
08496.hk,環球友飲智能,04/11/22,0.3125 /2.5%,0.112 /(64.16%),63.75%,中國友飲科技有限公司 (張陽),25/11/22,16/12/22,16/12/25,要約完成
09977.hk,鳳祥股份,28/10/22,1.5132 /14.64%,1.95 /28.87%,70.92%,Falcon Holding LP (PAG Capital Limited),28/12/22,01/02/23,01/02/26,要約完成
00643.hk,恆富控股,02/10/22,0.239 /(0.42%),0.265 /10.88%,50.28%,MARS Worldwide Holdings Limited (馬小秋),18/11/22,06/01/23,06/01/26,要約完成
02289.hk,創美藥業,28/09/22,7.29 /(1.49%),7.05 /(3.29%),9.0%,江西江中醫藥商業運營,20/01/23,10/02/23,10/02/26,要約完成
09666.hk,金科服務,27/09/22,12.0 /33.04%,6.89 /(42.58%),53.05%,Thematic Bridge Investment Pte. Ltd (博裕集團),24/10/22,22/11/22,22/11/25,要約完成
01580.hk,大森控股,21/09/22,0.045 /(29.69%),0.155 /244.44%,-,黃振漢,12/10/22,02/11/22,02/11/25,要約完成
00952.hk,華富建業金融,16/09/22,0.2 /16.3%,0.17 /(15.0%),66.13%,華新通有限公司 (林建興 & 韓曉生),12/04/23,03/05/23,03/05/26,要約完成
01383.hk,LET GROUP,14/09/22,0.069 /23.21%,0.043 /(37.68%),-,Major Success Group Limited (盧衍溢),13/10/22,03/11/22,03/11/25,要約完成
08229.hk,未來數據集團,13/09/22,0.2875 /63.35%,0.345 /20.0%,51.5%,偉富投資 & 華置投資 (陶國林),05/10/22,26/10/22,26/10/25,要約完成
01989.hk,松齡護老集團,30/08/22,0.89 /1.1%,0.9 /1.12%,56.15%,Diamond Ridge Holdings Limited (華懋集團),07/10/22,28/10/22,28/10/25,要約完成
01280.hk,奇點國峰,23/08/22,0.5 /(12.28%),4.02 /704.0%,94.79%,Greatssjy Co Ltd (袁力),未公佈,未公佈,-,待公佈
01943.hk,金石控股集團,18/08/22,0.34 /(67.92%),0.39 /14.71%,75.0%,Central Force Premium Group Limited (王建峰),29/09/22,20/10/22,20/10/25,要約完成
01575.hk,皇庭智家,05/08/22,0.063 /(7.35%),0.06 /(4.76%),-,Century Icon Holdings Limited (謝錦鵬),17/10/22,07/11/22,07/11/25,要約完成
08198.hk,加幂科技,20/07/22,0.28 /(52.54%),3.09 /1003.57%,51.0%,萬豐興業有限公司 (符捷頻 & 麥琳 & 梁蕓 & 劉衛宏),01/08/09,09/09/22,09/09/25,要約完成
00510.hk,時富金融服務集團,30/06/22,0.42 /25.37%,0.36 /(14.29%),100.0%,Celestial Investment Group Limited (時富投資 HKEX: 1049),16/09/22,21/10/22,21/10/25,要約完成
01440.hk,應星控股,27/06/22,0.79 /5.33%,8.1 /925.32%,57.5%,榮偉投資有限公司 (蔡榮星),12/08/22,02/09/22,02/09/25,要約完成
00709.hk,佐丹奴國際,23/06/22,1.88 /18.2%,1.42 /(24.47%),24.57%,Clear Prosper Global Limited (周大福控股),15/08/22,13/09/22,13/09/25,全購取消
00273.hk,茂宸集團,10/06/22,0.0311 /35.2%,0.033 /6.11%,-,Integrated Asset Management (Asia) Ltd (任德章),21/10/22,18/11/22,18/11/25,全購取消
08039.hk,中國來騎哦,09/06/22,0.2 /(89.0%),0.151 /(24.5%),39.51%,New Energy Business Cluster Company Limited,26/08/22,16/09/22,16/09/25,要約完成
08495.hk,1957 & CO.,01/06/22,0.5341 /7.9%,0.195 /(63.49%),48.98%,Real Hero Ventures Limited (Cai Weike),13/07/22,17/08/22,17/08/25,要約完成
02718.hk,東正金融,27/05/22,1.243 /25.56%,1.15 /(7.48%),-,上海汽車集團股份有限公司 (SH: 600104),15/09/22,06/10/22,06/10/25,要約完成
01796.hk,METASPACEX,11/05/22,0.7212 /(57.82%),3.43 /375.6%,-,萬事成國際投資有限公司 (陳怡冬 & 林崢 & 王寬 & 陳建),22/06/22,13/07/22,13/07/25,要約完成
08079.hk,仍志集團控股,10/05/22,0.08 /(20.0%),0.45 /462.5%,34.24%,葆豐管理有限公司 (陳恩德),31/05/22,19/07/22,19/07/25,要約完成
03718.hk,北控城市資源,28/04/22,0.78 /(-0.0%),0.355 /(54.49%),-,北控水務 (HKEX: 0371),27/05/22,27/06/22,27/06/25,要約完成
01533.hk,莊園牧場,25/04/22,10.89 /11.69%,10.84 /(0.46%),-,蘭州莊園牧場 (註銷H股),06/06/22,21/07/22,21/07/25,要約完成
08448.hk,環球印館,06/04/22,0.025 /8.7%,0.225 /800.0%,39.37%,New Metro Inc (林承大),27/04/22,20/05/22,20/05/25,要約完成
08446.hk,耀星科技集團,14/03/22,0.167 /(91.97%),0.117 /(29.94%),55.0%,St Ma Ltd (馬烈),14/04/22,05/05/22,05/05/25,要約完成
01729.hk,匯聚科技,11/02/22,0.8 /(1.23%),9.87 /1133.75%,74.67%,立訊精密工業 (SZ: 002475),29/03/22,19/04/22,19/04/25,要約完成
01961.hk,多牛科技,07/02/22,0.55 /(27.63%),0.32 /(41.82%),71.9%,Infinities Worldwide Limited & 劉曉珂,29/04/22,20/05/22,20/05/25,要約完成
01782.hk,國際商業數字技術,14/01/22,0.6811 /43.39%,3.4 /399.19%,71.8%,鳳凰財富 (開曼) 資產管理有限公司 (杜力),17/02/22,10/03/22,10/03/25,要約完成
02086.hk,高維科技,12/01/22,0.84 /(25.66%),0.58 /(30.95%),-,Mars Enterprise (麥照平) & Megacore International (張學勤),04/02/22,25/02/22,25/02/25,要約完成
01719.hk,中國通商集團,10/01/22,1.15 /6.5%,0.62 /(46.09%),74.81%,湖北港口 (香港) 國際有限公司,04/03/22,25/03/22,25/03/25,要約完成
08645.hk,比特元宇宙,04/01/22,0.2 /(64.91%),0.56 /180.0%,69.38%,Thrive Harvest Limited (余德才 - 執行董事),28/03/22,29/04/22,29/04/25,要約完成
02310.hk,時代環球集團,31/12/21,0.072 /(-0.0%),0.029 /(59.72%),-,Great Match International Limited (蔡潤初 - 聯席主席),21/01/22,25/03/22,25/03/25,要約完成
01703.hk,維力生活科技,16/12/21,0.23 /(74.16%),0.048 /(79.13%),59.57%,Wonderful Cosmos Limited (譚家偉),06/01/22,27/01/22,27/01/25,要約完成
00471.hk,中播數據,07/12/21,0.4 /(13.98%),0.62 /55.0%,-,Chi Capital Holdings Ltd (黃秋智 - 行政總裁 & 董事會主席),14/01/22,04/02/22,04/02/25,要約完成
08173.hk,客思控股,06/12/21,0.4644 /(47.82%),0.103 /(77.82%),73.81%,香港君泰廷投資有限公司 (叶鏵聰),28/12/21,18/01/22,18/01/25,要約完成
08511.hk,民富國際,25/11/21,0.1875 /(43.18%),1.03 /449.33%,-,鼎域技術有限公司 (黃敏智) & 張志龍 & 遠盈資本有限公司 (何俊傑),16/12/21,06/01/22,06/01/25,要約完成
08282.hk,智傲控股,25/11/21,0.6 /1.69%,0.5 /(16.67%),51.0%,Topliu Limited (劉漪),16/12/21,06/01/22,06/01/25,要約完成
